ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
84,84,84,Hideomi Yamamoto,active,84,84,84,,84
2489,2489,2489,Eiji Kawashima,active,2489,105651632081337,2489,2489,2489
4039,541062,541062,Doros Chaves,active,8392647,52887690416071,541062,,
4522,4522,4522,Cristiano Ronaldo,active,4522,52784879636906,4522,4522,4522
4882,4882,4882,James Milner,active,4882,52898427835154,4882,4882,4882
5308,5308,5308,Takanori Sugeno,active,5308,105684918080700,5308,5308,5308
5518,541067,541067,Raúl Albiol,active,5518,70378944730510,541067,,
7474,7474,7474,Nenê,active,7474,7474,7474,7474,7474
7511,7511,7511,Lionel Messi,active,7511,52788637736279,7511,7511,7511
7814,7814,7814,Dante,active,7814,55067117887110,7814,7814,7814
8823,8823,8823,Paolo Guerrero,active,8823,8823,8823,8823,8823
8944,8944,8944,Karim Benzema,active,16786160,52787295560432,8944,8944,8944
8959,8959,8959,Daniele Padelli,active,8959,8959,8959,8959,8959
9042,9042,9042,Kasper Schmeichel,active,9042,52782732157778,9042,9042,9042
9138,9138,9138,João Moutinho,active,9138,105561706210226,9138,9138,9138
9167,9167,9167,Remko Pasveer,active,9167,9167,9167,,9167
9226,541071,541071,Iván Cuéllar,active,9226,9226,541071,,
9375,9375,9375,Santi Cazorla,active,9375,9375,9375,9375,9375
9534,35290,35290,Craig Gordon,active,9534,9534,35290,,35290
15033,15033,15033,Hiroki Iikura,active,15033,105706929797817,15033,15033,15033
15075,15075,15075,Akihiro Ienaga,active,15075,52779510938339,15075,15075,15075
15097,15097,15097,Shusaku Nishikawa,active,15097,53971901233913,15097,15097,15097
15159,15159,15159,Hisashi Jogo,active,15159,15159,15159,,15159
15217,15217,15217,Shuichi Gonda,active,15217,52780853115761,15217,15217,15217
15261,15261,15261,Masato Morishige,active,15261,53876069776285,15261,15261,15261
15296,15296,15296,Yohei Takeda,active,15296,105817793641408,15296,,15296
15320,15320,15320,Shinji Kagawa,active,15320,53879022566360,15320,15320,15320
15431,15431,15431,Toru Hasegawa,active,15431,15431,15431,,15431
15446,15446,15446,Takashi Inui,active,15446,53980491168854,15446,15446,15446
15452,15452,15452,Shun Nagasawa,active,15452,15452,15452,15452,15452
15509,15509,15509,Koki Yonekura,active,15509,15509,15509,15509,15509
15527,15527,15527,Shu Kurata,active,15527,105826115140775,15527,15527,15527
15791,15791,15791,Kota Mizunuma,active,15791,15791,15791,15791,15791
15814,15814,15814,Yuto Nagatomo,active,15814,88038776520134,15814,15814,15814
15827,15827,15827,Hiroki Miyazawa,active,15827,105706929798611,15827,,15827
15882,15882,15882,Kazunari Ohno,active,15882,105632573177354,15882,,15882
15883,15883,15883,Daisuke Suzuki,active,15883,15883,15883,15883,15883
15884,541077,541077,Michael James,active,15884,105686260268556,541077,,
15893,15893,15893,Hiroshi Kiyotake,active,15893,53876875083285,15893,15893,15893
15900,15900,15900,Yutaka Yoshida,active,15900,15900,15900,,15900
15918,15918,15918,Takumi Yamada,active,15918,15918,15918,,15918
15960,15960,15960,Kohei Kawata,active,15960,15960,15960,,15960
16008,16008,541079,Hiromichi Katano,active,16008,16008,16008,,
16020,16020,16020,Yu Kobayashi,active,16020,53877143518868,16020,16020,16020
16025,16025,16025,Kazushi Mitsuhira,active,16025,16025,16025,,16025
16094,16094,16094,Goro Kawanami,active,16094,16094,16094,,16094
16095,16095,16095,Ryosuke Yamanaka,active,16095,16095,16095,16095,16095
16100,16100,16100,Takahiro Ohgihara,active,16100,53968948444900,16100,16100,16100
16114,16114,16114,Yoshiaki Takagi,active,16114,53945594560242,16114,16114,16114
16171,16171,541080,Mahdi Hamidullah,active,8404779,8404779,16171,,
16342,16342,16342,Hiroaki Okuno,active,16342,105660222029782,16342,16342,16342
16345,16345,16345,Gen Shoji,active,16345,16345,16345,16345,16345
16346,16346,16346,Gaku Shibasaki,active,16346,105651632095194,16346,16346,16346
16348,16348,16348,Shoma Doi,active,16348,106751680593884,16348,16348,16348
16362,16362,16362,Akito Fukumori,active,16362,105651632095210,16362,16362,16362
16364,16364,16364,Ryota Oshima,active,16364,105706929799148,16364,16364,16364
16369,16369,16369,Ryota Suzuki,active,16369,16369,16369,16369,16369
16375,16375,16375,Yuto Suzuki,active,16375,53876069777399,16375,,16375
16379,16379,16379,Yuki Horigome,active,16379,16379,16379,,16379
16387,16387,16387,Noriyoshi Sakai,active,16387,16387,16387,,16387
16409,16409,16409,Kenyu Sugimoto,active,16409,105643579031577,16409,16409,16409
16424,16424,16424,Tatsuki Nara,active,16424,53979685863464,16424,16424,16424
16426,16426,16426,Takuma Arano,active,16426,105844100317226,16426,,16426
16430,16430,16430,Takashi Kasahara,active,16430,105767327776814,16430,,16430
16431,541081,541081,Tsukasa Shiotani,active,16431,53985054572591,541081,,
16452,16452,16452,Haruya Ide,active,16452,105717398782020,16452,16452,16452
16453,16453,16453,Kento Hashimoto,active,16453,105748268859461,16453,16453,16453
16456,16456,16456,Shota Arai,active,16456,16456,16456,16456,16456
16472,16472,16472,Kosuke Onose,active,16472,53978075250776,16472,,16472
16474,541087,541087,Wataru Endo,active,16474,55067386331226,541087,,
16477,16477,16477,Ken Iwao,active,16477,53877411954781,16477,,16477
16496,16496,16496,Yuji Takahashi,active,16496,16496,16496,,16496
16500,16500,16500,Riki Harakawa,active,16500,53974048718964,16500,,16500
16530,16530,16530,Hayato Nakama,active,16530,105716325040274,16530,,16530
16536,16536,16536,Ken Matsubara,active,16536,53967606268056,16536,16536,16536
16538,16538,16538,Hirotaka Tameda,active,16538,105710956331162,16538,,16538
16541,16541,16541,Naoto Kamifukumoto,active,16541,53968411574429,16541,,16541
16572,16572,16572,Yuichi Maruyama,active,16572,106725373919420,16572,16572,16572
16578,16578,16578,Sho Sasaki,active,16578,53961969123522,16578,16578,16578
16587,16587,16587,Daiki Watari,active,16587,106732353241291,16587,,16587
16589,16589,16589,Takayuki Mae,active,16589,16589,16589,16589,16589
16610,16610,16610,Shuhei Matsubara,active,16610,16610,16610,,16610
16650,16650,16650,Tomoya Inukai,active,16650,53945057689866,16650,16650,16650
16652,16652,16652,Ryohei Shirasaki,active,16652,16652,16652,,16652
16657,16657,16657,Shun Takagi,active,16657,16657,16657,,16657
16680,16680,541088,Lee Ki-Je,active,16680,16680,16680,,
16726,16726,16726,Gakuto Notsuda,active,16726,53878754132310,16726,16726,16726
16728,16728,541090,Takuma Asano,active,16728,52889569476952,16728,,
16767,16767,16767,Genki Yamada,active,16767,16767,16767,,16767
16774,16774,16774,Kengo Nagai,active,16774,53961969123718,16774,,16774
16776,16776,16776,Ryota Nakamura,active,16776,16776,16776,,16776
16792,16792,16792,Takuya Kida,active,16792,105787192000920,16792,16792,16792
16799,16799,16799,Yuki Honda,active,16799,53945594560927,16799,,16799
16800,541092,541092,Takumi Minamino,active,16800,52876147704224,541092,,
16809,16809,16809,Hiroki Akino,active,16809,105792560710057,16809,16809,16809
16811,16811,16811,Yusuke Kobayashi,active,16811,105843295011243,16811,16811,16811
16812,16812,16812,Kosuke Nakamura,active,16812,53985054572972,16812,16812,16812
16814,16814,16814,Kazuki Kozuka,active,16814,16814,16814,,16814
16817,16817,16817,Ayumi Niekawa,active,16817,16817,16817,,16817
16822,16822,16822,Yuta Toyokawa,active,16822,106724300177846,16822,16822,16822
16823,16823,16823,Naomichi Ueda,active,16823,53978880557495,16823,16823,16823
16835,16835,16835,Ibuki Fujita,active,16835,105792292274627,16835,,16835
16836,16836,16836,Genta Miura,active,16836,105845442494916,16836,16836,16836
16845,16845,16845,Hiroto Nakagawa,active,16845,16845,16845,16845,16845
16855,16855,16855,Naoki Maeda,active,16855,105687602446807,16855,,16855
16858,16858,16858,Yuki Nogami,active,16858,105640894677466,16858,,16858
16859,16859,16859,Tsubasa Shibuya,active,16859,16859,16859,,16859
16862,16862,16862,Masaya Matsumoto,active,16862,106724300177886,16862,,16862
16864,16864,16864,Hirotaka Mita,active,16864,16864,16864,16864,16864
16869,16869,16869,Yuto Horigome,active,16869,16869,16869,,16869
16873,16873,16873,Takuya Iwanami,active,16873,16873,16873,,16873
16877,16877,16877,Gakuji Ota,active,16877,16877,16877,,16877
31044,31044,31044,Radamel Falcao,active,31044,31044,31044,31044,31044
31506,31506,31506,Jakkaphan Kaewprom,active,31506,31506,31506,,31506
32386,32386,32386,John Ruddy,active,32386,32386,32386,32386,32386
32782,32782,32782,Hugo Rodallega,active,32782,32782,32782,,32782
33075,33075,33075,Lorenzo De Silvestri,active,33075,33075,33075,33075,33075
33185,33185,33185,Manuel Neuer,active,33185,52869705269665,33185,33185,33185
33301,33301,33301,Regis Gurtner,active,33301,33301,33301,,33301
33895,33895,33895,Roman Eremenko,active,33895,33895,33895,,33895
34098,34098,34098,Luka Modrić,active,34098,52898159428914,34098,34098,34098
34102,34102,541093,Thiago Saura,active,8422710,8422710,34102,,
34437,34437,34437,Łukasz Fabiański,active,34437,52786221844101,34437,34437,34437
34611,34611,34611,Dimitri Payet,active,34611,53962237577011,34611,34611,34611
34813,34813,34813,Marko Arnautović,active,34813,52883663915005,34813,34813,34813
34881,34881,34881,Luis Suárez,active,34881,55061480769601,34881,34881,34881
35017,540180,540180,Sacha Marteau,active,8423625,105553116301513,540180,,540180
35124,35124,35124,Óscar Trejo,active,35124,35124,35124,35124,35124
35207,35207,35207,David Luiz,active,35207,35207,35207,35207,35207
35250,541095,541095,Éver Banega,active,35250,35250,541095,,
35252,35252,35252,Marco Ruben,active,35252,35252,35252,35252,35252
35873,541097,541097,Akihiro Hayashi,active,35873,105770012150817,541097,,
35876,541099,541099,César Azpilicueta,active,35876,70369281084452,541099,,
35880,35880,35880,José Sosa,active,35880,35880,35880,35880,35880
36612,113844,113844,Luo Shangnong,active,8425220,105713422601988,113844,,113844
36627,36627,36627,Yann Sommer,active,36627,52849304178451,36627,36627,36627
36703,36703,36703,David Ospina,active,36703,36703,36703,36703,36703
36714,36714,36714,Arturo Vidal,active,36714,105592576315242,36714,36714,36714
36718,36718,36718,Alexis Sánchez,active,36718,52889837932398,36718,36718,36718
36727,36727,36727,Fernando Muslera,active,36727,55069265399671,36727,36727,36727
36768,36768,36768,Fraser Forster,active,36768,36768,36768,36768,36768
36782,36782,36782,Titi,active,36782,36782,36782,,36782
36878,36878,541100,Raúl Fernández,active,36878,36878,36878,,
36943,36943,36943,Cássio,active,36943,53979954319439,36943,36943,36943
36945,36945,36945,Fágner,active,36945,52778705653841,36945,36945,36945
37106,37106,37106,Ángel Di María,active,37106,52781658444018,37106,37106,37106
37225,37225,37225,Mert Günok,active,37225,105622372651369,37225,37225,37225
37289,37289,37289,Jason Steele,active,37289,37289,37289,,37289
37291,37291,37291,Asmir Begović,active,37291,37291,37291,37291,37291
37304,37304,37304,Cristhian Stuani,active,37304,52850109485496,37304,37304,37304
37377,37377,37377,Andrés Fernández,active,37377,37377,37377,,37377
37440,541102,541102,Julian Drysdale,active,8426048,52784879669824,541102,,
37506,37506,37506,Javier García,active,37506,37506,37506,,37506
37814,37814,37814,Teerasil Dangda,active,37814,53881170072502,37814,37814,37814
37827,37827,37827,Axel Witsel,active,37827,52868094661571,37827,37827,37827
37862,37862,37862,Cristopher Toselli,active,37862,37862,37862,37862,37862
37901,37901,37901,Tomás Rincón,active,37901,37901,37901,37901,37901
38051,38051,38051,Stevan Jovetić,active,38051,38051,38051,38051,38051
38082,39278,39278,Tinie Standing,active,8426690,8426690,39278,,39278
38261,38261,38261,Andriy Yarmolenko,active,38261,105757395686773,38261,38261,38261
38274,541103,541103,Dayro Moreno,active,38274,38274,541103,,
38297,38297,38297,Willian,active,38297,105587476043161,38297,38297,38297
38338,38338,38338,Daniel Wass,active,38338,38338,38338,38338,38338
38352,38352,38352,Danny Welbeck,active,38352,52896817255888,38352,38352,38352
38362,38362,38362,Liam Cooper,active,38362,38362,38362,,38362
38387,38387,38387,Massimo Coda,active,38387,38387,38387,,38387
38439,38439,38439,Ivan Perišić,active,38439,52787564025383,38439,38439,38439
38627,38627,38627,Olivier Giroud,active,38627,52786758719203,38627,38627,38627
38701,38701,38701,T. Kolodziejczak,active,38701,38701,38701,,38701
38761,38761,38761,Necip Uysal,active,38761,106728058296169,38761,,38761
38779,38779,38779,Dani Parejo,active,38779,52854136018811,38779,38779,38779
38789,38789,38789,Barry Bannan,active,38789,38789,38789,38789,38789
38797,38797,38797,Daley Blind,active,38797,53877680412557,38797,38797,38797
38827,38827,541104,Danny Wilson,active,38827,38827,38827,,
38852,38852,38852,Davide Faraoni,active,38852,38852,38852,,38852
38965,38965,38965,Kyohei Noborizato,active,38965,53881706944565,38965,38965,38965
38966,38966,38966,Ryo Takeuchi,active,38966,38966,38966,,38966
38970,38970,38970,Taishi Taguchi,active,38970,106722152716346,38970,38970,38970
38981,38981,38981,Takuji Yonemoto,active,38981,53879559460933,38981,38981,38981
39000,39000,39000,Tatsuya Morita,active,39000,39000,39000,,39000
39016,39016,39016,Takuya Wada,active,39016,39016,39016,39016,39016
39020,39020,39020,Yuya Osako,active,39020,53979685886060,39020,39020,39020
39023,39023,39023,Masaaki Higashiguchi,active,39023,105634989119599,39023,39023,39023
39026,39026,39026,Gotoku Sakai,active,39026,53879559460978,39026,39026,39026
39031,39031,39031,Hotaru Yamaguchi,active,39031,105634989119607,39031,39031,39031
39161,39161,39161,Jeroen Zoet,active,39161,39161,39161,39161,39161
39215,541105,541105,Fabio da Gama,active,8427823,105637941909807,541105,,
39699,39699,39699,Gary Medel,active,39699,39699,39699,39699,39699
39719,39719,39719,Salomón Rondón,active,39719,53962774453031,39719,39719,39719
39730,44032,44032,Sebastian Orde,active,8428338,8428338,44032,,44032
39771,39771,541109,Sarafpour Yazdi,active,8428379,8428379,39771,,
39773,39773,39773,Celso Borges,active,39773,39773,39773,39773,39773
39777,540181,540181,Teodoro Casar,active,8428385,52845546085217,540181,,540181
39786,39786,541110,Carlos Lampe,active,39786,39786,39786,,
39813,39813,39813,Rafael Romo,active,39813,39813,39813,,39813
39881,540382,540382,Walid Abbas,active,16817097,16817097,540382,,540382
39936,39936,39936,Henrikh Mkhitaryan,active,39936,70376797281280,39936,39936,39936
40002,40002,40002,Robert Lewandowski,active,40002,123236838841410,40002,40002,40002
40122,40122,40122,Romelu Lukaku,active,40122,55068996967610,40122,40122,40122
40150,40150,40150,Thomas Delaney,active,40150,105820746456278,40150,40150,40150
40176,40176,40176,Leonardo Sigali,active,40176,40176,40176,40176,40176
40240,40240,40240,Nemanja Matić,active,40240,40240,40240,40240,40240
40256,40256,40256,Neil Etheridge,active,40256,106739601022272,40256,,40256
40278,40278,40278,Steven Nzonzi,active,40278,53968143162710,40278,40278,40278
40283,40283,40283,Séamus Coleman,active,40283,40283,40283,40283,40283
40295,40295,40295,Jordan Henderson,active,40295,52879637388647,40295,40295,40295
40323,40323,40323,P. E. Aubameyang,active,40323,55067117919619,40323,40323,40323
40352,40352,40352,Neymar Jr,active,40352,55069533838752,40352,40352,40352
40392,40392,40392,Nick Viergever,active,40392,40392,40392,40392,40392
40407,541111,541111,Maicon,active,40407,105716861935063,541111,,
40422,40422,40422,Xherdan Shaqiri,active,40422,52781121576422,40422,40422,40422
40429,40429,40429,Nemanja Gudelj,active,40429,40429,40429,40429,40429
40472,541112,541112,İsmail Köybaşı,active,40472,40472,541112,,
40525,40525,40525,Mattia Perin,active,40525,52783537495629,40525,40525,40525
40571,40571,40571,David de Gea,active,40571,52786758721147,40571,40571,40571
40579,40579,40579,Brice Maubleu,active,40579,40579,40579,,40579
40631,40631,40631,Juan Cuadrado,active,40631,52880442695351,40631,40631,40631
40661,40661,40661,Lucas Pratto,active,40661,40661,40661,40661,40661
40677,40677,40677,Alberto Grassi,active,40677,40677,40677,,40677
40686,40686,40686,Osvaldo,active,40686,40686,40686,,40686
40701,40701,40701,Shane Duffy,active,40701,40701,40701,40701,40701
40704,40704,40704,Joel Ward,active,40704,40704,40704,,40704
40725,40725,40725,Nicolás Otamendi,active,40725,52885006098197,40725,40725,40725
40749,40749,40749,Teófilo Gutiérrez,active,40749,40749,40749,40749,40749
40751,40751,40751,Adrián Ramos,active,40751,40751,40751,40751,40751
40786,40786,40786,Chris Wood,active,40786,55068460097362,40786,40786,40786
40805,114516,114516,Xiang Rongchen,active,8429413,105652504534885,114516,,114516
40870,40870,40870,Jens Toornstra,active,40870,40870,40870,40870,40870
40871,40871,40871,Christian Eriksen,active,40871,52871315890087,40871,40871,40871
40925,40925,40925,Alex Teixeira,active,40925,40925,40925,40925,40925
40937,40937,40937,Wojciech Szczęsny,active,40937,52884737662953,40937,40937,40937
40996,40996,40996,Mike te Wierik,active,40996,40996,40996,,40996
41066,41066,41066,Ciro Immobile,active,41066,52849304182890,41066,41066,41066
41082,41082,41082,Koke,active,41082,52892790726778,41082,41082,41082
41083,41083,41083,Eduardo Salvio,active,41083,55066849484923,41083,41083,41083
41085,41085,41085,Sergi Enrich,active,41085,41085,41085,,41085
41096,541113,541113,Francisco Portillo,active,41096,41096,541113,,
41100,41100,41100,Juanmi,active,41100,52854404456588,41100,,41100
41119,41119,41119,Kyle Walker,active,41119,52845546086559,41119,41119,41119
41120,41120,41120,Tom Cairney,active,41120,105836584149152,41120,41120,41120
41124,41124,41124,David Alaba,active,41124,56165824241828,41124,41124,41124
41174,41174,41174,Marcos Rojo,active,41174,41174,41174,41174,41174
41180,41180,41180,Gatito Fernández,active,41180,41180,41180,,41180
41204,41204,41204,Rafael,active,41204,41204,41204,,41204
41275,41275,41275,Juan Insaurralde,active,41275,41275,41275,,41275
41281,540182,540182,Florentino Peris,active,8429889,53880096334145,540182,,540182
41425,41425,41425,Eduardo Vargas,active,41425,105745852965329,41425,41425,41425
41428,41428,41428,Marcelo Díaz,active,41428,41428,41428,41428,41428
41451,41451,41451,Charles Aránguiz,active,41451,41451,41451,41451,41451
41464,41464,541114,Bryan Rabello,active,41464,41464,41464,,
41538,41538,41538,Emmanuel Olivera,active,41538,41538,41538,,41538
41546,41546,41546,Agustín Marchesín,active,41546,41546,41546,41546,41546
41555,41555,41555,Esteban Andrada,active,41555,53879291028051,41555,41555,41555
41581,41581,41581,James Rodríguez,active,41581,52871584326253,41581,41581,41581
41596,41596,41596,Nicolás Tagliafico,active,41596,52779510964860,41596,41596,41596
41619,41619,541117,Andrés Mosquera,active,41619,105633378509459,41619,,
41637,41637,541118,Felipe Pardo,active,41637,41637,41637,,
41640,41640,41640,Carlos Bacca,active,41640,41640,41640,41640,41640
41889,41889,41889,Youssef El-Arabi,active,41889,41889,41889,,41889
41975,41975,41975,Alexander González,active,41975,41975,41975,,41975
41983,41983,541121,Alain Baroja,active,41983,41983,41983,,
42033,42033,42033,André Carrillo Díaz,active,42033,105841952859185,42033,42033,42033
42058,42058,42058,Geoffry Hairemans,active,42058,42058,42058,,42058
42173,42173,42173,Enner Valencia,active,42173,52782732190909,42173,42173,42173
42245,42245,42245,Eric M.Choupo-Moting,active,42245,52778974094597,42245,42245,42245
42246,42246,42246,Vincent Aboubakar,active,42246,42246,42246,42246,42246
42249,42249,42249,Tommy Smith,active,42249,42249,42249,,42249
42273,42273,541122,Paulo Victor,active,42273,42273,42273,,
42274,42274,42274,Marcelo Lomba,active,42274,42274,42274,,42274
42316,42316,42316,Antoine Griezmann,active,42316,52874268681548,42316,42316,42316
42322,42322,42322,Kiko Femenía,active,42322,42322,42322,,42322
42343,42343,42343,Josef de Souza,active,42343,42343,42343,42343,42343
42353,42353,42353,Grant Hanley,active,42353,42353,42353,42353,42353
42375,42375,42375,Bruno Martins Indi,active,42375,42375,42375,42375,42375
42402,42402,541123,Josué,active,42402,42402,42402,,
42415,42415,42415,Marko Vešović,active,42415,42415,42415,,42415
42424,42424,42424,Granit Xhaka,active,42424,52890106373560,42424,42424,42424
42440,42440,42440,Jordy Clasie,active,42440,42440,42440,42440,42440
42452,42452,541124,Gabriel Mercado,active,42452,105628815107540,42452,,
42455,541129,541129,Clarice Loureiro,active,8431063,52786490287575,541129,,
42481,42481,42481,Jorge Pulido,active,42481,42481,42481,,42481
42483,42483,541130,Sebastián Gallegos,active,42483,42483,42483,,
42516,42516,42516,Sergio Álvarez,active,42516,42516,42516,,42516
42535,541131,541131,Cédric Soares,active,42535,106746043475495,541131,,
42539,42539,42539,Marco Bizot,active,42539,52845814523435,42539,42539,42539
42543,42543,42543,Hobie Verhulst,active,42543,42543,42543,,42543
42549,541133,541133,Elis Ronson,active,8431157,8431157,541133,,
42556,42556,42556,Isco,active,42556,55068728534588,42556,42556,42556
42575,42575,42575,Idrissa Guèye,active,42575,105558485018191,42575,42575,42575
42578,42578,42578,Jordan Ayew,active,42578,105666932942418,42578,42578,42578
42669,42669,42669,Casemiro,active,42669,52870779020973,42669,42669,42669
42697,42697,42697,Manuel Lanzini,active,42697,70374381364937,42697,42697,42697
42706,42706,42706,Carlos Izquierdoz,active,42706,42706,42706,,42706
42715,42715,541134,Ángel Sepúlveda,active,42715,53967337858779,42715,,
42751,42751,42751,Eugenio Mena,active,42751,42751,42751,42751,42751
42805,42805,42805,Nampalys Mendy,active,42805,42805,42805,42805,42805
42806,42806,42806,Cédric Bakambu,active,42806,42806,42806,42806,42806
42821,42821,42821,Benjamin Lecomte,active,42821,52879905826629,42821,42821,42821
42825,42825,42825,Alphonse Aréola,active,42825,52854136022857,42825,42825,42825
42846,42846,42846,Nicola Leali,active,42846,42846,42846,,42846
42868,42868,42868,Marc Bartra,active,42868,105822088636276,42868,42868,42868
42871,42871,42871,Oriol Romeu,active,42871,105622909527927,42871,42871,42871
42898,42898,42898,Lucas Moura,active,42898,55068191664018,42898,42898,42898
42918,42918,42918,James Forrest,active,42918,42918,42918,42918,42918
42929,541139,541139,Noel Whitlow,active,8431537,8431537,541139,,
43006,43006,43006,Ramiro Funes Mori,active,43006,53879291029502,43006,43006,43006
43054,36841,36841,Almon Bergin,active,8431662,8431662,36841,,36841
43063,43063,43063,Son Heung-Min,active,43063,52781121579063,43063,43063,43063
43075,43075,43075,Geoffrey Kondogbia,active,43075,105818330540099,43075,43075,43075
43099,43099,541140,Ryo Miyaichi,active,43099,105626936059995,43099,,
43117,43117,43117,Luis Mejía,active,43117,43117,43117,,43117
43133,43133,43133,Luiz Gustavo,active,43133,43133,43133,43133,43133
43135,43135,43135,Mateo Kovačić,active,43135,52874805553279,43135,43135,43135
43154,43154,43154,Nathan Redmond,active,43154,52785148110994,43154,43154,43154
43157,43157,43157,Marcos Alonso,active,43157,55070339147925,43157,43157,43157
43166,43166,43166,Matt Doherty,active,43166,43166,43166,43166,43166
43185,43185,43185,Thomas Bruns,active,43185,43185,43185,,43185
43211,43211,43211,Marko Dmitrović,active,43211,43211,43211,43211,43211
43230,541141,541141,Yuri Valuev,active,8431838,8431838,541141,,
43243,41622,41622,Nikolai Alho,active,43243,43243,41622,,41622
43288,43288,43288,Stefan Savić,active,43288,105575933323544,43288,43288,43288
43387,43387,43387,Luis Advíncula,active,43387,43387,43387,,43387
43388,43388,43388,Alberto Quintero,active,43388,43388,43388,,43388
43394,43394,43394,Aníbal Godoy,active,43394,105862353955202,43394,,43394
43415,43415,43415,Lukáš Hradecký,active,43415,43415,43415,43415,43415
43421,541142,541142,Horace Oster,active,8432029,8432029,541142,,
43467,43467,43467,Ricardo Rodríguez,active,43467,56167703292363,43467,43467,43467
43612,43612,43612,Tim Ream,active,43612,43612,43612,,43612
43646,43646,43646,Lucas Rodríguez,active,43646,43646,43646,,43646
43666,541143,541143,Danilo Ortiz,active,43666,43666,541143,,
43668,43668,43668,Óscar Romero,active,43668,105796587268756,43668,43668,43668
43686,43686,43686,Diego Rubio,active,43686,43686,43686,,43686
43694,541145,541145,Gabriel Vasconcelos,active,43694,55068191664814,541145,,
43731,43731,43731,Wilker Ángel,active,43731,105796318833363,43731,,43731
43773,43773,43773,Sebastián Moyano,active,43773,43773,43773,,43773
43985,43985,43985,Alex Sandro,active,43985,52871047457745,43985,43985,43985
43989,43989,43989,Danilo,active,43989,52845277653973,43989,43989,43989
44023,44023,44023,Pedro Gallese,active,44023,44023,44023,,44023
44037,44037,44037,Alan Aguerre,active,44037,44037,44037,,44037
44104,44104,44104,Jan Oblak,active,44104,52881248005192,44104,44104,44104
44328,44328,44328,Kamil Grosicki,active,44328,44328,44328,44328,44328
44354,44354,541146,Kosta Barbarouses,active,44354,44354,44354,,
44366,44366,541147,Majid Qutb,active,8432974,8432974,44366,,
44379,44379,44379,Kevin De Bruyne,active,44379,52900843793755,44379,44379,44379
44383,44383,44383,Thibaut Courtois,active,44383,55070339149151,44383,44383,44383
44407,44407,44407,Joel Campbell,active,44407,44407,44407,44407,44407
44451,44451,44451,Abdoulaye Bamba,active,44451,44451,44451,,44451
44527,44527,44527,Benjamin André,active,44527,44527,44527,44527,44527
44601,44601,44601,M'Baye Niang,active,44601,52871047458361,44601,44601,44601
44619,44619,44619,Rodrigo Moledo,active,44619,44619,44619,,44619
44620,44620,44620,Felipe Anderson,active,44620,52869168410188,44620,44620,44620
44636,44636,44636,Luis Muriel,active,44636,105639552527964,44636,44636,44636
44637,44637,44637,Allan Nyom,active,44637,44637,44637,44637,44637
44654,44654,44654,Willy Boly,active,44654,44654,44654,44654,44654
44667,541148,541148,Kenneth Crowford,active,8433275,8433275,541148,,
44694,44694,44694,Daniel Johnson,active,44694,44694,44694,,44694
44702,44702,44702,Ross Barkley,active,44702,52879368957598,44702,44702,44702
44717,44717,541150,David Cornell,active,44717,44717,44717,,
44718,127830,127830,L. González Pírez,active,44718,44718,127830,,127830
44721,44721,44721,Jack Robinson,active,44721,44721,44721,,44721
44794,44794,44794,Nicola Ravaglia,active,44794,44794,44794,,44794
44840,44840,44840,Virgil van Dijk,active,44840,52883663925032,44840,44840,44840
44849,44849,44849,Steven Berghuis,active,44849,52785416548145,44849,44849,44849
44857,44857,44857,Santiago Arias,active,44857,44857,44857,44857,44857
44936,44936,44936,Ivo Pinto,active,44936,44936,44936,,44936
44946,44946,44946,Juan Bernat,active,44946,44946,44946,44946,44946
45012,541151,541151,Duke Lipson,active,8433620,8433620,541151,,
45023,45023,45023,Paul Pogba,active,45023,52891716988895,45023,45023,45023
45041,45041,45041,Pietro Terracciano,active,45041,55067923230705,45041,,45041
45065,45065,45065,Jakub Brabec,active,45065,45065,45065,45065,45065
45071,45071,45071,Germán Pezzella,active,45071,45071,45071,45071,45071
45078,45078,45078,Donovan Léon,active,45078,52878295216150,45078,,45078
45089,45089,45089,Lucas Digne,active,45089,52877221474337,45089,45089,45089
45106,45106,45106,Mathieu Gorgelin,active,45106,45106,45106,,45106
45113,45113,45113,Dimitri Foulquier,active,45113,45113,45113,,45113
45120,45120,45120,Kenny Lala,active,45120,45120,45120,45120,45120
45126,40110,40110,A.Oxlade Chamberlain,active,45126,53975390924870,40110,,40110
45134,45134,45134,Ben Davies,active,45134,45134,45134,45134,45134
45144,45144,45144,Bernd Leno,active,45144,52788369338456,45144,45144,45144
45158,45158,45158,Dani Jiménez,active,45158,45158,45158,,45158
45176,45176,45176,Sébastien Haller,active,45176,70373039190136,45176,45176,45176
45182,45182,45182,J. Daniel Akpa Akpro,active,45182,45182,45182,,45182
45193,45193,45193,Luca Lezzerini,active,45193,45193,45193,,45193
45196,45196,45196,Matteo Bianchetti,active,45196,45196,45196,,45196
45267,45267,45267,Suso,active,45267,45267,45267,45267,45267
45270,45270,45270,Conor Coady,active,45270,45270,45270,45270,45270
45290,45290,45290,Iñigo Martínez,active,16822506,52875073990890,45290,45290,45290
45291,45291,45291,Diego Mariño,active,45291,45291,45291,,45291
45300,45300,45300,Mattia Valoti,active,45300,45300,45300,,45300
45336,45336,541152,Nicolás López,active,45336,45336,45336,,
